title,japanese_title,english_title,type,episodes,status,aired,premiered,broadcast,source,duration,rating,score,ranked,popularity,members,favorites,image_url
Gokinjo Monogatari,ご近所物語,Neighborhood Stories,TV,50,Finished Airing,"Sep 10, 1995 to Sep 1, 1996",Fall 1995,Sundays at 08:30 (JST),Manga,25 min. per ep.,PG-13 - Teens 13 or older,7.66,#1387,#4389,"28,644",400,https://cdn.myanimelist.net/r/50x70/images/anime/11/18195.jpg?s=c88a90750a6a30573bd5fd6df29fd28b
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,デュラララ!!×２ 承　第4.5話「私の心は鍋模様」,Durarara!! x2 Shou: My Heart Is in the Pattern of a Hot Pot,Special,1,Finished Airing,"Jul 22, 2015",,,Light novel,23 min.,R - 17+ (violence & profanity),7.66,#1386,#2788,"68,789",53,https://cdn.myanimelist.net/r/50x70/images/anime/9/72248.jpg?s=ba41a2883a370aa23e360977933a8d6e
Doupo Cangqiong Specials,斗破苍穹 特别篇,Fights Break Sphere Specials,ONA,2,Finished Airing,"Sep 30, 2017 to Oct 7, 2017",,,,25 min. per ep.,PG-13 - Teens 13 or older,7.66,#1385,#8276,"5,995",29,https://cdn.myanimelist.net/r/50x70/images/anime/2/88360.jpg?s=95cb5bf16bd4ec5695a06c58f8281290
Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,結城友奈は勇者である -勇者の章-,Yuki Yuna is a Hero: The Hero Chapter,TV,6,Finished Airing,"Nov 25, 2017 to Jan 6, 2018",Fall 2017,Fridays at 01:55 (JST),,24 min. per ep.,PG-13 - Teens 13 or older,7.64,#1450,#3579,"43,383",225,https://cdn.myanimelist.net/r/50x70/images/anime/8/83013.jpg?s=3b88e89668fdba73fedbdd72be69ec65
Yama no Susume: Next Summit,ヤマノススメ Next Summit,Encouragement of Climb: Next Summit,TV,12,Finished Airing,"Oct 5, 2022 to Dec 21, 2022",Fall 2022,Wednesdays at 00:30 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,7.64,#1449,#4546,"26,716",111,https://cdn.myanimelist.net/r/50x70/images/anime/1942/126897.jpg?s=f487d781226c8c422c7f616b4c45a9b7
Working!!,ワーキング!!,Wagnaria!!,TV,13,Finished Airing,"Apr 4, 2010 to Jun 27, 2010",Spring 2010,Unknown,4-koma manga,24 min. per ep.,PG-13 - Teens 13 or older,7.64,#1448,#545,"442,796","2,510",https://cdn.myanimelist.net/r/50x70/images/anime/10/75262.jpg?s=6077f0616e8fab853db4a3039b86c457
Tokyo Revengers: Seiya Kessen-hen,東京リベンジャーズ 聖夜決戦編,Tokyo Revengers: Christmas Showdown,TV,13,Finished Airing,"Jan 8, 2023 to Apr 2, 2023",Winter 2023,Sundays at 02:08 (JST),Manga,23 min. per ep.,R - 17+ (violence & profanity),7.64,#1447,#644,"388,349","2,542",https://cdn.myanimelist.net/r/50x70/images/anime/1773/132313.jpg?s=4e30add789914fcf80a6611ae5d97f6f
Sugar Apple Fairy Tale Part 2,シュガーアップル・フェアリーテイル,,TV,12,Finished Airing,"Jul 7, 2023 to Sep 22, 2023",Summer 2023,Fridays at 21:30 (JST),Light novel,22 min. per ep.,PG-13 - Teens 13 or older,7.64,#1446,#2804,"68,225",346,https://cdn.myanimelist.net/r/50x70/images/anime/1693/138042.jpg?s=2387a8222370eba4df719ff368454a6b
Shingeki no Kyojin Season 3 Specials,｢進撃の巨人｣ちみキャラ劇場”とんでけ！新生リヴァイ班”,"Attack on Titan: Chibi Theater - Survey Corps, Levi Squad!",Special,7,Finished Airing,"Oct 17, 2018 to Sep 18, 2019",,,Manga,2 min. per ep.,G - All Ages,7.64,#1445,#3745,"39,861",76,https://cdn.myanimelist.net/r/50x70/images/anime/1909/99638.jpg?s=26b53d31f3d98bfb825f6ab0627ddd61
Rokuhou-dou Yotsuiro Biyori,鹿楓堂よついろ日和,Yotsuiro Biyori,TV,12,Finished Airing,"Apr 11, 2018 to Jun 27, 2018",Spring 2018,Wednesdays at 00:30 (JST),Manga,23 min. per ep.,PG-13 - Teens 13 or older,7.64,#1444,#3959,"35,426",212,https://cdn.myanimelist.net/r/50x70/images/anime/1015/90727.jpg?s=16f235f14f651e72eb24318a3640e929
Psycho-Pass Movie: Providence,劇場版 PSYCHO-PASS サイコパス PROVIDENCE,,Movie,1,Finished Airing,"May 12, 2023",,,,2 hr.,R - 17+ (violence & profanity),7.64,#1443,#3195,"53,135",167,https://cdn.myanimelist.net/r/50x70/images/anime/1244/134653.jpg?s=f227e0ddac1b9c19ca50f4163c337e9c
Princess Principal: Crown Handler Movie 3,プリンセス・プリンシパル Crown Handler 第3章,Princess Principal: Crown Handler - Chapter 3,Movie,1,Finished Airing,"Apr 7, 2023",,,,1 hr.,R - 17+ (violence & profanity),7.64,#1442,#6099,"12,704",24,https://cdn.myanimelist.net/r/50x70/images/anime/1570/130995.jpg?s=0a89f4878703c75d2977277b5324f476
Pandora Hearts,パンドラハーツ,Pandora Hearts,TV,25,Finished Airing,"Apr 3, 2009 to Sep 25, 2009",Spring 2009,Fridays at 01:29 (JST),Manga,24 min. per ep.,PG-13 - Teens 13 or older,7.64,#1441,#551,"440,706","5,224",https://cdn.myanimelist.net/r/50x70/images/anime/4/75535.jpg?s=059baa8c9f9e8b488238d1b2ec2a7781
Nezha Zhi Mo Tong Jiang Shi,哪吒之魔童降世,Ne Zha,Movie,1,Finished Airing,"Jul 26, 2019",,,,1 hr. 50 min.,PG-13 - Teens 13 or older,7.64,#1440,#5745,"14,864",61,https://cdn.myanimelist.net/r/50x70/images/anime/1759/102055.jpg?s=8e2235dbfdbb024a81532015d3ce1060
